object_num,max_cc_time,time_start,time_end,max_cc_val,max_sig,time_diff
139,-1.2,-8.8,10.4,0.30518,2.52133,19.2
139,1021.6,1000.0,1034.0,0.31013,2.65634,34.0
139,2239.6,2214.8,2313.6,0.36468,2.59627,98.8
140,6.0,-10.4,26.8,0.44396,3.32126,37.2
141,-140.4,-184.4,-108.8,0.35215,2.16099,75.6
146,2144.0,2129.6,2154.4,-0.5662,-2.31803,24.8
146,2245.6,2226.4,2271.2,-0.63508,-2.88993,44.8
146,2412.4,2360.0,2427.2,-0.57666,-2.63768,67.2
148,294.8,260.4,309.6,-0.3645,-2.19444,49.2
152,-917.2,-926.8,-840.8,-0.43871,-2.73823,86.0
152,-15.2,-60.8,58.8,0.40106,2.60494,119.6
152,1561.2,1518.8,1604.8,0.34479,2.34779,86.0
156,1826.0,1807.6,1862.8,0.33768,2.47477,55.2
157,-11.2,-14.8,82.8,0.55718,3.44314,97.6
158,-282.0,-362.4,-255.2,0.49895,2.79336,107.2
158,1878.8,1844.0,1935.2,0.38488,2.12574,91.2
160,40.8,4.4,170.0,0.44833,2.69852,165.6
160,2278.0,1997.2,2309.2,-0.41602,-2.31461,312.0
165,1610.8,1599.6,1628.0,0.29723,2.21275,28.4
166,-187.6,-262.4,-24.4,0.43566,2.19695,238.0
166,1891.2,1797.6,2007.6,0.49283,2.22897,210.0
168,-2.8,-6.4,4.4,0.3545,2.67773,10.8
173,-1143.2,-1174.8,-1125.6,0.49925,2.46932,49.2
173,-678.4,-778.4,-669.2,-0.50044,-2.72717,109.2
173,-2.4,-22.8,15.6,0.4861,2.96804,38.4
173,195.6,166.0,207.6,0.37304,2.21868,41.6
173,1404.4,1396.8,1436.8,-0.33803,-2.14875,40.0
174,-1185.2,-1241.2,-1126.4,-0.48964,-2.32603,114.8
174,36.8,-11.6,72.0,0.59258,3.16111,83.6
174,1212.0,1179.2,1267.2,-0.60898,-3.56543,88.0
174,2341.6,2304.8,2445.2,0.64128,2.94452,140.4
175,28.0,-17.6,42.0,0.45689,3.16083,59.6
175,1677.6,1664.0,1700.4,0.35531,2.4854,36.4
175,1906.0,1885.6,1933.2,0.33451,2.33718,47.6
176,8.4,-15.6,39.6,0.25679,2.47831,55.2
187,-860.0,-921.2,-833.2,-0.44599,-2.35955,88.0
187,-0.4,-18.8,30.8,0.49322,2.92252,49.6
187,906.4,853.2,925.6,-0.41408,-2.54318,72.4
189,1026.4,1009.2,1044.0,0.36061,2.12482,34.8
195,2024.4,1973.2,2058.0,0.25084,2.12416,84.8
197,-0.8,-14.4,22.4,0.42654,3.25953,36.8
197,1868.8,1850.8,1906.0,0.31706,2.40229,55.2
197,2070.4,2039.2,2086.4,0.28754,2.19538,47.2
206,1.2,-23.6,8.8,0.31785,2.43716,32.4
209,-2.0,-23.2,31.2,0.26316,2.29571,54.4
210,2144.4,2124.8,2168.0,-0.25893,-2.44448,43.2
219,-1111.6,-1159.6,-1062.8,0.56393,2.65397,96.8
219,-535.6,-657.6,-486.0,-0.41616,-2.7536,171.6
219,-3.6,-22.4,10.0,0.58636,4.26729,32.4
219,478.8,432.0,502.8,-0.41361,-2.92105,70.8
219,1092.8,1057.2,1110.4,0.42044,2.80673,53.2
219,1263.2,1184.8,1274.8,0.37978,2.70369,90.0
219,1619.6,1561.2,1634.0,-0.32391,-2.36337,72.8
220,4.0,-15.6,18.0,0.41851,2.67057,33.6
220,138.8,115.6,182.4,0.31223,2.0881,66.8
225,2494.0,2434.4,2528.8,-0.36089,-2.23907,94.4
226,-1394.0,-1447.2,-1308.0,-0.56777,-2.41591,139.2
226,-555.2,-652.4,-508.0,-0.35055,-2.16826,144.4
226,-96.8,-121.6,-62.8,0.56876,3.73032,58.8
226,1347.2,1316.8,1533.2,-0.4456,-2.44068,216.4
231,4.8,-14.4,40.4,0.26329,2.28737,54.8
231,1976.8,1955.6,2003.6,-0.26087,-2.20293,48.0
236,1488.8,1432.0,1562.0,-0.31969,-2.13418,130.0
243,1.2,-38.0,35.2,0.33548,2.26606,73.2
243,319.6,279.6,333.6,-0.27731,-2.16423,54.0
243,817.6,791.2,846.8,0.37417,2.5298,55.6
248,-1082.4,-1152.8,-1063.6,0.44108,2.46696,89.2
248,22.4,-6.8,36.4,0.34985,2.14619,43.2
258,-1137.6,-1160.8,-1125.2,-0.49883,-2.24309,35.6
258,66.4,-20.0,93.2,0.34373,2.50638,113.2
258,1200.4,1186.8,1221.2,-0.38608,-2.47293,34.4
259,-0.4,-24.8,31.2,0.31543,2.2334,56.0
259,1218.4,1156.8,1234.8,0.41929,2.75484,78.0
261,-367.6,-400.8,-352.8,0.47209,2.41737,48.0
261,0.8,-27.2,24.0,0.58328,3.34904,51.2
261,2400.4,2362.4,2413.2,0.36814,2.35285,50.8
266,649.6,623.6,677.2,-0.36225,-2.51538,53.6
270,-51.6,-111.6,50.4,0.45212,2.37532,162.0
270,808.8,772.8,875.6,-0.52464,-2.57504,102.8
270,1872.4,1843.2,1920.0,0.40683,2.24149,76.8
272,144.8,69.2,212.8,0.36269,2.12674,143.6
276,-604.4,-624.0,-591.2,-0.45919,-2.46448,32.8
276,-64.0,-86.0,14.4,0.41242,2.74538,100.4
276,920.4,896.8,944.8,0.33518,2.47605,48.0
280,1240.4,1076.8,1309.6,-0.46772,-2.59288,232.8
284,4.8,-19.6,30.4,0.26912,2.18643,50.0
290,-1028.4,-1041.6,-1010.0,-0.35395,-2.13167,31.6
290,0.8,-9.6,11.6,0.57427,3.63898,21.2
290,199.6,187.6,221.2,0.38936,2.14108,33.6
290,300.0,259.6,340.0,0.38634,2.16984,80.4
291,-579.6,-616.8,-456.0,-0.36455,-2.15867,160.8
291,67.6,-12.8,123.6,0.36334,2.71241,136.4
294,-1509.6,-1523.2,-1498.4,0.51592,2.55674,24.8
294,-1060.0,-1068.8,-1040.0,-0.58794,-2.81218,28.8
294,-713.2,-725.6,-700.4,0.48738,2.49966,25.2
294,-352.8,-368.8,-319.6,-0.51361,-3.04944,49.2
294,8.0,-10.0,27.6,0.56398,4.02751,37.6
294,500.8,463.6,520.0,-0.38096,-2.71445,56.4
294,897.2,881.2,921.2,0.29911,2.32211,40.0
294,2190.8,2134.4,2208.8,-0.33467,-2.38071,74.4
301,619.6,581.2,672.0,-0.63208,-2.90971,90.8
301,2331.2,2270.0,2411.2,0.55342,2.22507,141.2
308,-1016.0,-1083.6,-1004.4,0.48377,2.38472,79.2
309,-1204.0,-1240.0,-1158.0,-0.51123,-2.13201,82.0
309,1456.4,1364.4,1529.6,-0.43754,-2.96585,165.2
309,2378.4,2309.6,2449.2,0.39343,2.45881,139.6
317,-480.4,-502.0,-460.0,0.37126,2.08302,42.0
317,-174.4,-183.6,-160.8,0.50043,2.47021,22.8
317,81.2,8.8,108.4,0.46847,2.60577,99.6
